,cond_name,exp_name,cell_id,area_mean,area_sd,change_ratio_mean,change_ratio_sd
122,ctrl_1d,M64_1d-post-injury_evening_23-01-20,10,1250.2,349.0560986431837,0.6318784395492685,0.06776608826100683
123,ctrl_1d,M64_1d-post-injury_evening_23-01-20,11,1042.8,239.1948159973372,0.6292506471331252,0.04109227017614499
124,ctrl_1d,M64_1d-post-injury_evening_23-01-20,12,903.8,147.91402908446517,0.7063567204836888,0.10187698699773493
125,ctrl_1d,M64_1d-post-injury_evening_23-01-20,13,1280.6,194.8092400272636,0.5631489942983461,0.04806794301009111
126,ctrl_1d,M64_1d-post-injury_evening_23-01-20,14,831.2,201.5027543236072,0.7198335355782337,0.05826467944545569
127,bum_1d,M66_1d-post-injury_morning_23-01-20,0,846.375,68.4432931338053,0.43297012405302754,0.12519726319500096
128,bum_1d,M66_1d-post-injury_morning_23-01-20,1,1111.875,184.54839304366755,0.4969089032859816,0.07203864756071351
129,bum_1d,M66_1d-post-injury_morning_23-01-20,2,1403.75,109.4928650643502,0.6429403195186133,0.07224309020691307
130,bum_1d,M66_1d-post-injury_morning_23-01-20,3,1099.625,117.13126984285623,0.5231466508225223,0.03968115559833017
131,bum_1d,M66_1d-post-injury_morning_23-01-20,4,641.75,57.68394490670693,0.5336794845742282,0.11031781843830761
132,bum_1d,M66_1d-post-injury_morning_23-01-20,5,1116.25,141.70722458646912,0.5977501019792165,0.04842910268770052
133,bum_1d,M66_1d-post-injury_morning_23-01-20,6,1008.625,141.94095383292307,0.43678110379180474,0.06330023937871508
134,bum_1d,M66_1d-post-injury_morning_23-01-20,7,1127.75,90.13704843181853,0.5471655440823274,0.07946046051638597
135,bum_1d,M66_1d-post-injury_morning_23-01-20,8,1212.125,83.83083785218898,0.5424820425206146,0.08037045825290473
136,bum_1d,M66_1d-post-injury_morning_23-01-20,9,1251.375,91.67052075231165,0.4853787183999422,0.07670667845311116
137,bum_1d,M66_1d-post-injury_morning_23-01-20,10,979.625,155.75857721165792,0.5404309081326342,0.08130925553171847
138,bum_1d,M66_1d-post-injury_morning_23-01-20,11,1086.875,172.16738766386624,0.7968831104716007,0.1344162535543321
139,bum_1d,M66_1d-post-injury_morning_23-01-20,12,1620.125,290.15230375614806,0.5453162538911137,0.06978486505878176
140,bum_1d,M66_1d-post-injury_morning_23-01-20,13,1245.75,187.04661852062443,0.5086754914977576,0.06768251624262067
141,bum_1d,M66_1d-post-injury_morning_23-01-20,14,898.75,108.90907905220757,0.417232009662019,0.15315571070814357
142,bum_1d,M66_1d-post-injury_morning_23-01-20,15,924.75,103.98046691566643,0.4371088246389944,0.06922960428383186
143,bum_1d,M66_1d-post-injury_morning_23-01-20,16,1150.875,142.9680362004039,0.680073304797658,0.08756902147125006
144,bum_1d,M6_1d-post-injury_evening_14-05-20,0,733.8333333333334,88.24854421210331,0.5601635539413441,0.07700541346914866
145,bum_1d,M6_1d-post-injury_evening_14-05-20,1,1057.4166666666667,94.78260945740814,0.5361536090884524,0.0526771008986163
146,bum_1d,M6_1d-post-injury_evening_14-05-20,2,942.0833333333334,54.20863758561811,0.4684020747557641,0.07314952265579822
147,bum_1d,M6_1d-post-injury_evening_14-05-20,3,1012.6666666666666,146.10118259465102,0.5549351297527064,0.08352039962056687
148,bum_1d,M6_1d-post-injury_evening_14-05-20,4,1064.5,161.59027404725407,0.5365948202483375,0.0836404189637775
149,bum_1d,M6_1d-post-injury_evening_14-05-20,5,934.0833333333334,74.07480265845389,0.5311675280523898,0.08624546172318348
150,bum_1d,M6_1d-post-injury_evening_14-05-20,6,686.0,136.31764375897933,0.5732522143773378,0.12115650306868561
151,bum_1d,M6_1d-post-injury_evening_14-05-20,7,1484.1666666666667,179.99297825810382,0.4805909888735556,0.042011059498837336
152,bum_1d,M6_1d-post-injury_evening_14-05-20,8,1073.9166666666667,154.24140080478463,0.5145712966524417,0.04621501760862047
153,bum_1d,M6_1d-post-injury_evening_14-05-20,9,848.3333333333334,40.80304999493161,0.39289801288020887,0.04943182327338893
154,bum_1d,M6_1d-post-injury_evening_14-05-20,10,789.3333333333334,135.59641915953713,0.5758375533457439,0.08287893305030028
155,bum_1d,M6_1d-post-injury_evening_14-05-20,11,685.4166666666666,49.300876147274394,0.5462657331537376,0.08924971800113655
156,bum_1d,M6_1d-post-injury_evening_14-05-20,12,1055.9166666666667,207.0106512289216,0.5883663910286445,0.08086379236723028
157,bum_1d,M6_1d-post-injury_evening_14-05-20,13,1700.3333333333333,125.75991235507266,0.4135627273732519,0.04432166604336167
158,bum_1d,M6_1d-post-injury_evening_14-05-20,14,788.8333333333334,103.9862437483386,0.4741303401834903,0.07768875404860671
159,bum_1d,M6_1d-post-injury_evening_14-05-20,15,970.6666666666666,106.66718749872844,0.6159045005528297,0.07301245311959455
160,bum_5d,M6_5d-post-injury_evening_18-05-20,0,950.1666666666666,77.95814404039017,0.5590896920462325,0.04079782876400659
161,bum_5d,M6_5d-post-injury_evening_18-05-20,1,1125.4166666666667,149.21989273849812,0.5571207015098314,0.06689646428380895
162,bum_5d,M6_5d-post-injury_evening_18-05-20,2,856.5833333333334,71.76519390035503,0.5303421342154642,0.07120085587725808
163,bum_5d,M6_5d-post-injury_evening_18-05-20,3,1115.3333333333333,105.09308043613316,0.5267755661032965,0.04720670706758254
